_id,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
208,8767,59.00,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,,69.00,-,-,1012,-,59.00,-,25.00,1.00,2021-02-03T00:00:00,+07:00,Moderate,2
209,8688,167.00,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,,16.00,-,-,1019,-,-,-,20.00,2.30,2021-02-03T00:00:00,+07:00,Unhealthy,4
210,8641,161.00,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.10,,77.00,12.80,2.10,1019,"",161.00,4.60,20.00,2.30,2021-02-03T00:00:00,+07:00,Unhealthy,4
211,13012,24.00,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,1.00,,75.00,2.00,26.00,928.70,16.00,24.00,2.00,17.80,1.00,2021-02-03T00:00:00,+07:00,Good,1
212,12488,54.00,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm25,1.00,,88.00,-,-,1019,42.00,54.00,-,21.00,1.00,2021-02-03T00:00:00,+07:00,Moderate,2
213,13251,111.00,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,18.00,,75.00,28.00,1.00,1019,78.00,111.00,1.00,20.50,2.50,2021-02-02T21:00:00,+07:00,Unhealthy for sensitive groups,3
214,12976,-,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,2.00,,82.00,15.00,24.00,1021,28.00,34.00,2.00,20.00,3.00,2021-02-02T10:00:00,+07:00,No data,0
215,13250,155.00,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,28.00,,91.10,4.00,16.00,1007.200000000000045474735088646411895751953125,68.00,155.00,19.00,19.70,19.00,2021-02-03T00:00:00,+07:00,Unhealthy,4
216,5507,43.00,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,-,,97.50,-,8.00,1005.700000000000045474735088646411895751953125,22.00,43.00,-,17.40,2.00,2021-02-02T23:00:00,+07:00,Good,1
217,11778,5.00,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm25,5.00,,97.50,9.00,-,1005.700000000000045474735088646411895751953125,3.00,5.00,99.00,4.00,2.00,2021-02-02T23:00:00,+07:00,Good,1
218,12958,115.00,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,3.00,,82.00,27.00,5.00,1021,68.00,115.00,3.00,20.00,3.00,2021-02-02T10:00:00,+07:00,Unhealthy for sensitive groups,3
